Cell ID,Entity,Dimension Code,Policy Dimension,NDC Source/Page,NDC Evidence Excerpt,IPCC Source/Page,IPCC Evidence Excerpt,Cut-off Flag,Review Scope
GC-106,United Kingdom,D1,Renewable Energy Targets,"Clean Power 2030 Action Plan (DESNZ, Dec 2024); House of Commons Library Clean Power briefing","The plan targets 100% of Great Britain's electricity demand met from 'clean' sources (renewables, nuclear, and low-carbon backup) by 2030, with a specific sub-target of 95% clean *generation* and carbon intensity below 50g CO2/kWh (down from 154g currently). Latest data shows generation from clean sources at 63.7% against the 95% target, with consumption-based clean generation at 58% against the 100% target. Gas is retained only as backup, targeted at 5% or less of generation over a typical weather year.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,Potential post-cut-off source/date,Exploratory 119-cell review
GC-107,United Kingdom,D2,Net Zero Pathway,"UK's 2035 NDC (submitted UNFCCC Jan 30, 2025); Climate Change Act 2008 (net zero by 2050, legally binding)","NDC commits to reducing all GHG emissions by at least 81% by 2035 vs 1990 (excl. international aviation/shipping), based on advice from the independent Climate Change Committee, an economy-wide absolute target covering all gases. Climate Action Tracker (secondary) states: 'The UK's 2035 target in its new NDC is ambitious and would translate to emissions below our cost-effective 1.5ºC modelled domestic pathway... we label the UK's new NDC as “1.5°C compatible” compared to MDPs... it is the first developed country to get this assessment.'",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-108,United Kingdom,D3,Methane Reduction,"Global Methane Pledge (UK hosted launch at COP26, 2021); Climate Change Committee (CCC) net-zero pathway advice; North Sea Transition Deal Methane Action Plan","The UK hosted and facilitated the Global Methane Pledge's launch at COP26. Per the CCC (secondary), methane emissions should fall by approximately 30% of 2020 levels by 2030 as part of the UK's legally-binding net-zero pathway. Industry's North Sea Transition Deal Methane Action Plan separately commits to a 50% reduction by 2030 (vs. 2018 baseline) in the oil and gas sector, with an OGCI methane-intensity target of 0.2% by 2025. Methane's share of total UK emissions has already fallen from 18% (1990) to 14% (2022) — demonstrated historical progress, not just a future target. However, a House of Lords Environment and Climate Change Committee report (secondary) found 'the UK has contributed significantly less than other comparable countries' on international methane finance, and Clean Air Task Force (secondary) states 'the UK has languished' internationally on methane leadership since its strong COP26 start.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,,Exploratory 119-cell review
GC-109,United Kingdom,D4,Adaptation Finance,"UK Biennial Finance Communication to UNFCCC (Dec 2024); Third National Adaptation Programme (NAP3, July 2023, under the Climate Change Act)","The UK pledged to increase its International Climate Finance (ICF) from £5.8bn (2015–2021) to £11.6bn (2021–2026), including at least £3bn for nature-based solutions, and has a legally-mandated domestic adaptation programme (NAP3) covering infrastructure, the natural environment, and industry. ICF results reporting shows 110,075,000 people directly supported to adapt to climate change. However, independent analysis (Carbon Brief, cited by the Independent Commission for Aid Impact, secondary) found the UK had 'fallen 40% behind on its £11.6bn climate-finance pledge' as of October 2023 — a real, quantified delivery shortfall.","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-110,United Kingdom,D5,Loss and Damage,COP28 outcomes (Dec 2023); UK Biennial Finance Communication (Dec 2024),"The UK committed up to £40 million (~$51 million) to the newly-established Fund for Responding to Loss and Damage (FRLD) at COP28, and holds a full seat on the FRLD Board, working to target support to particularly vulnerable countries including LDCs and SIDS. However, Save the Children (secondary) criticized the announcement as the UK 'giving with one hand while taking with the other,' implying the funds may have been reallocated from existing ICF commitments rather than representing genuinely additional money.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-111,United Kingdom,D6,Transport Sector Targets,"UK's 2035 NDC ICTU (Jan 2025), Zero Emission Vehicle (ZEV) mandate; Carbon Budget and Growth Delivery Plan (CBGD, Oct 2025)","The UK's own NDC text describes its ZEV mandate as 'the world's most ambitious national level regulatory framework of its kind,' with binding annual minimum new-sales targets rising to 80% of cars and 70% of vans by 2030, reaching 100% by 2035; the 2030 ban on new petrol/diesel car sales was reinstated by the Labour government after a prior delay to 2035. However, the October 2025 CBGD plan sets lower on-road fleet-composition assumptions than the 2021 net-zero strategy (21% of all cars ZEV by 2030 and 48% by 2035, down from 24% and 53% respectively) — Carbon Brief (secondary) notes 'the car industry has consistently claimed it is set to miss the ZEV mandate [sales] targets.'",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,Potential post-cut-off source/date,Exploratory 119-cell review
GC-112,United Kingdom,D7,LULUCF and Carbon Sinks,UK's 2035 NDC (Jan 2025),"Climate Action Tracker (secondary) states directly: 'the UK has missed the opportunity to provide clarity in three key areas: LULUCF, carbon removal, and carbon credits.' However, CAT also notes 'the UK's LULUCF emissions are very small compared to total emissions (at less than 1% of total emissions in 2024)' — meaning the sector's practical influence on the credibility of the headline 81% target is limited even where transparency is lacking.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-113,United States,D1,Renewable Energy Targets,"No current NDC exists. Historical reference: Biden Administration's 2024 NDC (revoked); Inflation Reduction Act (IRA, 2022); One Big Beautiful Bill Act (OBBBA, signed July 4, 2025)","Following the US withdrawal from the Paris Agreement (executive order, Jan 20, 2025), the Trump Administration formally revoked the Biden Administration's 2030 and 2035 NDC targets, so no current federal renewable-electricity target exists to evaluate. The prior approach relied on IRA renewable tax credits (Clean Electricity Production/Investment Tax Credits); OBBBA now imposes 'accelerated repeal schedules for most renewable energy tax credits' (Arnold & Porter, secondary), making solar and wind ineligible for the Clean Electricity Investment Credit after Dec 31, 2027. E2 data (via Electrek, secondary) shows over $28.7 billion in private-sector renewable and EV project cancellations in 2025 alone.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,,Exploratory 119-cell review
GC-114,United States,D2,Net Zero Pathway,"No current NDC exists. Executive Order 14162 'Putting America First in International Environmental Agreements' (Jan 20, 2025)","The Trump Administration's executive order formally initiated US withdrawal from the Paris Agreement and 'revoked the US 2030 and 2035 Nationally Determined Contribution (NDC) targets' that the Biden Administration had submitted in 2021 and 2024 (61–66% below 2005 by 2035), and 'also abandoned the US net zero target' from the Biden Administration's Long-Term Strategy (net zero by 2050). Climate Action Tracker (secondary) now rates 'the US's lack of NDC targets as “Critically Insufficient”... If all countries were to follow the US's approach, warming would exceed 4°C.'",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",,Exploratory 119-cell review
GC-115,United States,D3,Methane Reduction,"Inflation Reduction Act Waste Emissions Charge (WEC, methane fee rule); H.J.Res.35 (signed into law March 14, 2025); EPA Greenhouse Gas Reporting Program (GHGRP) proposed amendment (Sept 9, 2025)","Congress used the Congressional Review Act to disapprove the EPA's WEC rule (which would have charged oil and gas producers $900–$1,500/tonne for excess methane emissions), and President Trump signed this into law in March 2025, voiding the regulation 'and limit[ing] the promulgating agency's discretion to re-promulgate a similar rule in the future' (Vinson & Elkins, secondary) — though the underlying IRA statutory obligation technically remains unrepealed with no enforceable mechanism. Separately, EPA proposed suspending most Greenhouse Gas Reporting Program obligations and 'delaying oil and gas methane reporting requirements until 2034' (Columbia Climate Law Blog, secondary) — a near-decade data blackout on the emissions data needed to implement any methane policy.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,,Exploratory 119-cell review
GC-116,United States,D4,Adaptation Finance,"Executive Order 14162 (Jan 2025); OBBBA (July 2025), termination of the Greenhouse Gas Reduction Fund","Woodwell Climate Research Center (secondary) states directly: 'The executive order is targeted at stopping any U.S. climate finance contributions,' which would include international adaptation finance previously provided by the US. Domestically, OBBBA 'terminated the Greenhouse Gas Reduction Fund, which was also created under the Inflation Reduction Act and provided billions of dollars in investments' (NYC Independent Budget Office, secondary) in climate resilience and clean energy financing.","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-117,United States,D5,Loss and Damage,Executive Order 14162 (Jan 2025),"No loss-and-damage finance need, liability/compensation reference, or fund contribution exists — the executive order withdrawing from the Paris Agreement is 'targeted at stopping any U.S. climate finance contributions' (Woodwell Climate, secondary), which would encompass any prior or planned L&D Fund engagement.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-118,United States,D6,Transport Sector Targets,"EPA Endangerment Finding repeal (proposed, final decision expected ~Jan 2026); vehicle GHG emissions standards rescission; OBBBA (EV tax credit repeal); NEVI program suspension","EPA has moved to rescind the 2009 Endangerment Finding, the legal basis for federal GHG vehicle standards, and has 'formally rescinded a host of federal GHG emissions standards for trucks and automobiles' (Legal Planet, secondary) — standards that 'would have led to EVs constituting approximately 68% of new automobile sales nationwide by 2032.' OBBBA repealed EV tax credits (25E, 30D, 45W) for vehicles acquired after Sept 30, 2025, and the 30C charging-infrastructure credit after June 30, 2026. The Federal Highway Administration rescinded all guidance for the National EV Infrastructure (NEVI) formula grant program and suspended all state NEVI plan approvals (Plug In America, secondary). CAFE fuel-economy violation penalties were also zeroed out.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,Potential post-cut-off source/date,Exploratory 119-cell review
GC-119,United States,D7,LULUCF and Carbon Sinks,"No current NDC exists (revoked, Jan 2025)","No LULUCF accounting methodology, sink target, or additionality safeguard currently exists at the federal level, as the entire NDC framework that would have specified this treatment was formally revoked. No LULUCF-specific rollback announcement was separately identified, but this follows directly from the blanket revocation of the underlying NDC document itself.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",Potential post-cut-off source/date,Exploratory 119-cell review
